id_maquina,turno,pecas_produzidas,data
MAQ-01,Manhã,342,2024-05-01
MAQ-01,Tarde,289,2024-05-01
MAQ-01,Noite,310,2024-05-01
MAQ-02,Manhã,401,2024-05-01
MAQ-02,Tarde,378,2024-05-01
MAQ-02,Noite,355,2024-05-01
MAQ-03,Manhã,198,2024-05-01
MAQ-03,Tarde,220,2024-05-01
MAQ-03,Noite,175,2024-05-01
MAQ-01,Manhã,360,2024-05-02
MAQ-01,Tarde,301,2024-05-02
MAQ-01,Noite,298,2024-05-02
MAQ-02,Manhã,415,2024-05-02
MAQ-02,Tarde,390,2024-05-02
MAQ-02,Noite,370,2024-05-02
MAQ-03,Manhã,210,2024-05-02
MAQ-03,Tarde,235,2024-05-02
MAQ-03,Noite,190,2024-05-02
MAQ-04,Manhã,275,2024-05-01
MAQ-04,Tarde,260,2024-05-01
MAQ-04,Noite,240,2024-05-01
MAQ-04,Manhã,290,2024-05-02
MAQ-04,Tarde,270,2024-05-02
MAQ-04,Noite,255,2024-05-02
